T_C,X_CO2_pct,y_CO2,y_H2,y_CO,y_H2O,stable_phases,nearest_reduced_phase,margin_kJ_per_mol_O
1250.0,62.081968410388,0.03791803158894503,0.037918031624126124,0.06208196840929629,0.062081968374114865,TiO2,Ti10O19,39.366687851800634
1275.0,62.52916782200975,0.0374708321766936,0.037470832245903515,0.06252916781984567,0.06252916775063606,TiO2,Ti10O19,38.201150272645464
1300.0,62.95716578061465,0.03704283421691737,0.03704283435016486,0.06295716577642023,0.0629571656431729,TiO2,Ti10O19,37.02646793223266
1325.0,63.36701233265806,0.036632987662738294,0.036632987914055254,0.06336701232469767,0.06336701207338272,TiO2,Ti10O19,35.84262677334391
1350.0,63.75968965250396,0.036240310339073496,0.036240310803889265,0.0637596896376857,0.06375968917287,TiO2,Ti10O19,34.64961654837407
1375.0,64.13611662844546,0.03586388335642467,0.03586388420016409,0.06413611660138828,0.06413611575764903,TiO2,Ti10O19,33.44743062072757
1400.0,64.49715317099522,0.03550284680229896,0.035502848306730096,0.06449715312247957,0.06449715161804839,TiO2,Ti10O19,32.23606577797182
1425.0,64.84360425152069,0.03515639570212473,0.035156398339157374,0.06484360416602898,0.0648436015289936,TiO2,Ti10O19,31.015522054460234
1450.0,65.17622368305037,0.03482377623777166,0.034823780785123326,0.06517622353486084,0.06517621898750897,TiO2,Ti10O19,29.785802560417324
1475.0,65.49571765790482,0.03450428220891138,0.034504289928735075,0.06549571740510285,0.06549570968527609,TiO2,Ti10O19,28.546913313793993
1500.0,65.80274805930787,0.034197251719937906,0.03419726463058005,0.06580274763453013,0.06580273472388792,TiO2,Ti10O19,27.29886307009383
