sample,family,variant,diameter_nm,energy_map,closure,reactive,cls,flags,theta_bri,bridging_capacity_umol_g,N_react_umol_g,TOF_s_1,N_react_uncapped_umol_g,TOF_uncapped_s_1,pair_fraction,iterations,inventory_residual
R500,PRIMARY,,900,LI_SBR1,NEUTRAL,ISO_z4,PRIMARY,RECON_CAP,0.99994,13.5581,1.09385,3.44653,1.70417e-16,,0,12,-7.1e-15
R500,PRIMARY,,900,LI_SBR1,NEUTRAL,ISO_z8,PRIMARY,RECON_CAP,0.99994,13.5581,0.519124,7.26223,2.14217e-33,,0,12,-7.1e-15
R600,PRIMARY,,900,LI_SBR1,NEUTRAL,BRI,PRIMARY,RECON_CAP,0.99999,13.5581,2.30487,1.70075,13.5579,0.28913,0,10,3.7e-11
R600,PRIMARY,,900,LI_SBR1,NEUTRAL,ISO_z2,PRIMARY,RECON_CAP,0.99999,13.5581,1.58783,2.46879,1.40753e-09,,0,10,3.7e-11
R600,PRIMARY,,900,LI_SBR1,NEUTRAL,ISO_z4,PRIMARY,RECON_CAP,0.99999,13.5581,1.09385,3.58366,1.46125e-19,,0,10,3.7e-11
R600,PRIMARY,,900,LI_SBR1,NEUTRAL,ISO_z8,PRIMARY,RECON_CAP,0.99999,13.5581,0.519124,7.55118,1.57491e-39,,0,10,3.7e-11
R800,PRIMARY,,900,LI_SBR1,NEUTRAL,BRI,PRIMARY,RECON_CAP,0.999996,13.5581,2.30487,0.872066,13.558,0.148252,0,10,-2.8e-14
R800,PRIMARY,,900,LI_SBR1,NEUTRAL,ISO_z2,PRIMARY,RECON_CAP,0.999996,13.5581,1.58783,1.26588,2.28742e-10,,0,10,-2.8e-14
R800,PRIMARY,,900,LI_SBR1,NEUTRAL,ISO_z4,PRIMARY,RECON_CAP,0.999996,13.5581,1.09385,1.83754,3.85919e-21,,0,10,-2.8e-14
R800,PRIMARY,,900,LI_SBR1,NEUTRAL,ISO_z8,PRIMARY,RECON_CAP,0.999996,13.5581,0.519124,3.87191,1.09849e-42,,0,10,-2.8e-14
R1000,PRIMARY,,900,LI_SBR1,NEUTRAL,BRI,BOUNDARY,RECON_CAP YUAN_STRONG_REDUCTION,0.999999,13.5581,2.30487,0.0196974,13.558,0.00334856,0,8,1.1e-13
R1000,PRIMARY,,900,LI_SBR1,NEUTRAL,ISO_z2,BOUNDARY,RECON_CAP YUAN_STRONG_REDUCTION,0.999999,13.5581,1.58783,0.0285926,1.05828e-11,,0,8,1.1e-13
R1000,PRIMARY,,900,LI_SBR1,NEUTRAL,ISO_z4,BOUNDARY,RECON_CAP YUAN_STRONG_REDUCTION,0.999999,13.5581,1.09385,0.0415047,8.26053e-24,,0,8,1.1e-13
R1000,PRIMARY,,900,LI_SBR1,NEUTRAL,ISO_z8,BOUNDARY,RECON_CAP YUAN_STRONG_REDUCTION,0.999999,13.5581,0.519124,0.087455,5.03291e-48,,0,8,1.1e-13
R600,inventory,R600 94.6,900,LI_SBR1,NEUTRAL,BRI,SENSITIVITY,RECON_CAP,0.99999,13.5581,2.30487,1.70075,13.5579,0.28913,0,10,3.1e-11
R600,inventory,R600 94.6,900,LI_SBR1,NEUTRAL,ISO_z2,SENSITIVITY,RECON_CAP,0.99999,13.5581,1.58783,2.46879,1.3828e-09,,0,10,3.1e-11
R600,inventory,R600 94.6,900,LI_SBR1,NEUTRAL,ISO_z4,SENSITIVITY,RECON_CAP,0.99999,13.5581,1.09385,3.58366,1.41035e-19,,0,10,3.1e-11
R600,inventory,R600 94.6,900,LI_SBR1,NEUTRAL,ISO_z8,SENSITIVITY,RECON_CAP,0.99999,13.5581,0.519124,7.55118,1.4671e-39,,0,10,3.1e-11
A600,basal,alpha 1,900,LI_SBR1,NEUTRAL,BRI+BASAL,SENSITIVITY,RECON_CAP,0.974982,13.5581,2.3049,0.98052,13.2189,0.170967,0,14,-4.5e-13
R500,basal,alpha 1,900,LI_SBR1,NEUTRAL,BRI+BASAL,SENSITIVITY,RECON_CAP,0.99994,13.5581,2.31736,1.62685,13.5697,0.277824,0,12,-7.1e-15
R600,basal,alpha 1,900,LI_SBR1,NEUTRAL,BRI+BASAL,SENSITIVITY,RECON_CAP,0.99999,13.5581,2.37772,1.64864,13.6308,0.287585,0,10,3.7e-11
