sample,energy_map,cutoff_nm,dG_eV,f110,eps,reactive,theta_bri,reconstructed_fraction,N_bridging_umol_g,N_reconstructed_row_umol_g,N_basal_L1_umol_g,N_L1_subbridging_umol_g,N_subsurface_L2_4_umol_g,N_bulk_umol_g,N_react_umol_g,TOF_s_1,site_class,flags,Q_vs_R600,Q_ref_below_threshold
R500,PAB,0.28,-0.4,1,107 (c_axis),BRI,0.0632802,0.0224072,0.632073,0.11435,5.59793e-07,0.22939,0.0180247,35.8562,0.632073,5.9645,OK,,1.12683,
R500,PAB,0.28,-0.4,1,107 (c_axis),ISO_z2,0.0632802,0.0224072,0.632073,0.11435,5.59793e-07,0.22939,0.0180247,35.8562,0.554629,6.79734,OK,,1.08173,
R500,PAB,0.28,-0.4,1,107 (c_axis),ISO_z4,0.0632802,0.0224072,0.632073,0.11435,5.59793e-07,0.22939,0.0180247,35.8562,0.486674,7.74646,OK,,1.03844,
R500,PAB,0.28,-0.4,1,107 (c_axis),ISO_z8,0.0632802,0.0224072,0.632073,0.11435,5.59793e-07,0.22939,0.0180247,35.8562,0.374722,10.0608,OK,,0.956987,
R500,PAB,0.28,-0.4,1,107 (c_axis),BRI+BASAL,0.0632802,0.0224072,0.632073,0.11435,5.59793e-07,0.22939,0.0180247,35.8562,0.632073,5.9645,OK,,1.12683,
R600,PAB,0.28,-0.4,1,107 (c_axis),BRI,0.0822125,0.118521,0.740576,0.605137,1.05133e-06,0.440808,0.0510846,92.1624,0.740576,5.29318,OK,,1,
R600,PAB,0.28,-0.4,1,107 (c_axis),ISO_z2,0.0822125,0.118521,0.740576,0.605137,1.05133e-06,0.440808,0.0510846,92.1624,0.623832,6.28375,OK,,1,
R600,PAB,0.28,-0.4,1,107 (c_axis),ISO_z4,0.0822125,0.118521,0.740576,0.605137,1.05133e-06,0.440808,0.0510846,92.1624,0.525491,7.45969,OK,,1,
R600,PAB,0.28,-0.4,1,107 (c_axis),ISO_z8,0.0822125,0.118521,0.740576,0.605137,1.05133e-06,0.440808,0.0510846,92.1624,0.372873,10.513,OK,,1,
R600,PAB,0.28,-0.4,1,107 (c_axis),BRI+BASAL,0.0822125,0.118521,0.740576,0.605137,1.05133e-06,0.440808,0.0510846,92.1624,0.740577,5.29317,OK,,1,
R800,PAB,0.28,-0.4,1,107 (c_axis),BRI,0.0960261,0.3154,0.671939,1.61079,2.14832e-06,0.815871,0.124415,189.877,0.671939,2.99134,OK,,0.565131,
R800,PAB,0.28,-0.4,1,107 (c_axis),ISO_z2,0.0960261,0.3154,0.671939,1.61079,2.14832e-06,0.815871,0.124415,189.877,0.549102,3.66052,OK,,0.582537,
R800,PAB,0.28,-0.4,1,107 (c_axis),ISO_z4,0.0960261,0.3154,0.671939,1.61079,2.14832e-06,0.815871,0.124415,189.877,0.448721,4.4794,OK,,0.600481,
R800,PAB,0.28,-0.4,1,107 (c_axis),ISO_z8,0.0960261,0.3154,0.671939,1.61079,2.14832e-06,0.815871,0.124415,189.877,0.299656,6.70769,OK,,0.638038,
R800,PAB,0.28,-0.4,1,107 (c_axis),BRI+BASAL,0.0960261,0.3154,0.671939,1.61079,2.14832e-06,0.815871,0.124415,189.877,0.671941,2.99133,OK,,0.56513,
R1000,PAB,0.28,-0.4,1,107 (c_axis),BRI,0.114122,0.788019,0.247286,4.02647,8.27929e-06,2.03301,0.524031,774.369,0.247286,0.183593,OK,YUAN_STRONG_REDUCTION,0.0346848,
R1000,PAB,0.28,-0.4,1,107 (c_axis),ISO_z2,0.114122,0.788019,0.247286,4.02647,8.27929e-06,2.03301,0.524031,774.369,0.194068,0.233939,OK,YUAN_STRONG_REDUCTION,0.0372292,
